"IdConglomerado","X_C3","Y_C3","NoIndividuo_C3","DiametroNormal_C3","AlturaTotal_C3","AreaBasal_C3","NombreComun_C3","Familia_APG_C3","Genero_APG_C3","Especie_APG_C3","Clave_ESP","N_Cientifico"
61225,-88.253694,18.750333,11,11.6,7.2,0.010568,"tadzi","Nyctaginaceae","Neea","psychotrioides","Neepsy","Neea psychotrioides"
61225,-88.253694,18.750333,26,10.7,11.2,0.008992,"silil","Ebenaceae","Diospyros","tetrasperma","Diotet","Diospyros tetrasperma"
61225,-88.253694,18.750333,41,12.1,9.3,0.011499,"bop","Polygonaceae","Coccoloba","cozumelensis","Coccoz","Coccoloba cozumelensis"
61225,-88.253694,18.750333,46,8.5,10,0.005675,"bop","Polygonaceae","Coccoloba","cozumelensis","Coccoz","Coccoloba cozumelensis"
61225,-88.253694,18.750333,19,15.6,12.7,0.019113,"katalox","Fabaceae","Swartzia","cubensis","Swacub","Swartzia cubensis"
61225,-88.253694,18.750333,51,12.5,11,0.012272,"kitanche","Fabaceae","Caesalpinia","gaumeri","Caegau","Caesalpinia gaumeri"
61225,-88.253694,18.750333,5,17.6,11.5,0.024329,"chaca rojo","Burseraceae","Bursera","simaruba","Bursim","Bursera simaruba"
61225,-88.253694,18.750333,20,8.7,8.9,0.005945,"topyuc","Polygonaceae","Coccoloba","barbadensis","Cocbar","Coccoloba barbadensis"
61225,-88.253694,18.750333,46,19,13.1,0.028353,"topyuc","Polygonaceae","Coccoloba","barbadensis","Cocbar","Coccoloba barbadensis"
62750,-88.375833,18.488833,58,18.7,11.4,0.027465,"Chechen","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
62750,-88.375833,18.488833,73,11,6.5,0.009503,"Chi´it","Arecaceae","Thrinax","radiata","Thrrad","Thrinax radiata"
62750,-88.375833,18.488833,7,13,10.5,0.013273,"chechen","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
62750,-88.375833,18.488833,88,7.6,10.1,0.004536,"Negrito","Simaroubaceae","Simarouba","amara","Simama","Simarouba amara"
62750,-88.375833,18.488833,8,12,12.2,0.01131,"chechen","Anacardiaceae","Metopium","brownei","Metbro","Metopium brownei"
